Epoch,Loss_D,Loss_G,Score_D,Score_G,PSNR,SSIM
1,-29.803797801236108,1.0031910328374647,-158.55103193230008,-166.15703445042118,16.638847265034716,0.5943484078742766
2,-34.94199791016024,0.7204961772400503,-112.04058794067852,-120.47042300055446,16.83759563938155,0.6026221660208851
3,-33.42839439207277,0.7300014937658307,-115.34160074693226,-123.25442541811348,16.932080779559065,0.6084853097703113
4,-32.69223794722115,0.7917283735506072,-128.08709389832575,-135.9560116811143,16.930117449638235,0.6131656116259621
5,-32.35489964039347,0.8104051447057592,-132.178528494151,-139.86514143113152,16.957256908963714,0.6115843603842442
6,-31.870232691265254,0.8156758509033042,-133.55585914073248,-141.07952940927973,17.030479223304088,0.6239551391569209
7,-31.4849461297971,0.8187609569066174,-134.38592386087876,-141.84212145430357,17.004913697729616,0.6250619788197237
8,-31.02168773821943,0.8161252969621791,-134.19622400957365,-141.46600805007677,17.05316388472345,0.6295384457564304
9,-30.649128195189338,0.7865718389115778,-128.43999713966988,-135.6434874550392,17.033683997286428,0.6299080737821742
10,-30.431139217609473,0.7846479927588524,-128.14254078281004,-135.24367378960466,16.999312847291108,0.6275816113752214
11,-30.013942378188244,0.7636345024970986,-124.22940592831081,-131.222462764268,17.05455893911028,0.6534236339226147
12,-29.81571045572049,0.7517925696543315,-121.91594619730499,-128.92051404557267,17.11912473159029,0.6339530630811022
13,-29.642665203818378,0.7253161911646262,-116.59094453231266,-123.56586611111987,17.102234973285796,0.6445883021971875
14,-29.424189153143786,0.7040610321721354,-112.44541928626732,-119.3171350158817,16.997023115334578,0.6547891212654512
15,-29.314761026905828,0.6937516079724789,-110.44135877055155,-117.32908462520318,16.98225905671795,0.6629752773394914
16,-29.1224087295522,0.6613215054775742,-104.16621528482825,-110.93166938488903,17.091145914914158,0.6491232499075832
17,-29.124398861117406,0.6368730419297983,-99.36230716942525,-106.08328023246526,17.109896254179336,0.6613781883970432
18,-28.880338132472097,0.6210516398250817,-96.38784272152185,-103.0993505189337,17.11695491834306,0.669482430044196
19,-28.78104243406917,0.584701778328999,-89.20101888505933,-95.91115414709122,13.625584894348744,0.598056970614481
20,-28.858221967606188,0.5951715024234656,-91.20960180100509,-97.92880690595892,17.139561631239925,0.6650432829008222
21,-28.89064191506973,0.5968373672668565,-91.58318636845506,-98.3084027243501,17.165404836790398,0.6761314848892873
22,-28.757157915338396,0.6060463014629794,-93.49367496572049,-100.22700540351987,17.141636036134805,0.6767960019549647
23,-28.856842030222047,0.6045418398162649,-93.15319142713203,-99.91027228137062,17.116909226410563,0.6576469300995291
24,-28.788110041006142,0.5958413101824055,-91.51854201916922,-98.15539554399018,17.1454366468153,0.6647200835958155
25,-28.732728265037238,0.5849785777337971,-89.3896378251535,-96.0455867087808,16.202694129106504,0.623142393179129
26,-28.84114827932266,0.5766395394315956,-87.59217037949396,-94.34382707893268,16.8482182488522,0.6434357052058417
27,-28.716238422706088,0.569092263660507,-86.19693540402642,-92.8841330398651,17.03316277143449,0.645607814752732
28,-28.80822416997355,0.5617391404774051,-84.6692009890262,-91.41893575340175,17.19376888156844,0.6759487827847048
29,-28.81511257965492,0.5543238769257134,-83.22407201224473,-89.98448508867502,17.199368381420108,0.6720597858157685
30,-28.721660034317573,0.5442985118040727,-81.43293502751644,-88.06685369825539,17.15157347294963,0.6697487507396551
31,-28.78026892023905,0.5422170738862667,-80.94206995681199,-87.65981819553517,16.779491426219654,0.6558662305607428
32,-28.83905275083243,0.5253393446428838,-77.44814776239448,-84.21293785120471,17.091193820826774,0.6696363232703199
33,-28.508169906152386,0.5158936839933694,-75.86689944308655,-82.5012080129511,17.225143223064215,0.6729575732431232
34,-28.60628163649228,0.5201181397008653,-76.64783071091492,-83.2562048370151,17.166405150973066,0.667296520958116
