Epoch,Loss_D,Loss_G,Score_D,Score_G,PSNR,SSIM
1,-12.445098889562441,0.6545870024170112,-89.26447998900552,-92.62540816616213,18.185883234037277,0.5502905525258781
2,-5.051927684361073,0.5616205150553067,-98.83435290776795,-101.27768720974495,21.351157077791996,0.6808618750533046
3,-5.482764099441909,0.23503436851392295,-36.21463594052979,-38.56401130915317,23.9715537544004,0.7351116277068886
4,-5.185510656556768,0.15848575737337767,-21.59928899000885,-25.524542875884105,21.43617992788942,0.6944864963630814
5,-5.488220920831997,0.20818883535717142,-30.742173363988346,-34.46242595090777,21.965476672901115,0.7216561991316741
6,-5.547487482208067,0.12261714993665516,-17.08832780858912,-18.60767747802295,22.955795145643766,0.7438345714686032
7,-4.77669139037292,0.1120717213419469,-15.95768510178834,-16.380875396392902,22.986882407489666,0.7427891624501144
8,-4.257942339479756,0.16726346505029835,-26.486750294187207,-28.459211449408393,23.69073046045753,0.7661107535369364
9,-4.190169744076161,0.14728444086070883,-22.942051201412834,-25.0010446925111,24.887964413005324,0.7864443936669234
10,-3.6792221504631475,0.1688679555699314,-27.347341871887057,-29.301858980465173,25.15119065555097,0.7908338821948843
11,-3.3172805319354506,0.16192470026395944,-26.625776200278096,-28.582446501291837,14.751744977634957,0.6231619099175232
12,-3.055387855851344,0.15547996643720022,-25.09657987228329,-27.14257644357981,26.305688929478034,0.7904426451937927
13,-2.873434508925656,0.142404918584147,-23.047240385635085,-24.73688290487773,25.892052280902348,0.7903775365306352
14,-2.8405111160987113,0.1242291888693309,-19.724119757553353,-21.260087156414002,26.296673458755507,0.79495344993204
15,-2.645676780598436,0.11313234720799822,-17.354032640503682,-18.76234259884195,25.9561501717803,0.7916526828696808
16,-2.5528943433619915,0.09529989622583973,-14.1065509440393,-15.53632875500627,26.900467483186794,0.802960450522888
17,-2.427857847020386,0.09564296684145873,-14.423820169832213,-15.708165205221963,26.530645487676246,0.8001840745681879
18,-2.2874510986279804,0.07380493759252635,-10.221784670086162,-11.429729885304821,26.57386016771966,0.7960661384720285
19,-2.153644971876662,0.07210298007905203,-9.867596569075008,-11.134071022150545,26.678922376495684,0.7994989298114407
20,-2.046113471747503,0.06107196424738625,-7.986732180934901,-9.020933781434447,26.623536388674932,0.8010439908006112
21,-1.9798548504254927,0.05183001145902084,-6.187741768033106,-7.197001657285357,26.635389768378136,0.7997056494768363
22,-1.8218632985699283,0.04829871553571906,-5.635243964178089,-6.547383338425108,26.775840645707998,0.7992448080338039
23,-1.8236083591221752,0.04256443012345472,-4.482692882546156,-5.467771373309584,26.584572465620898,0.8090051368084715
24,-1.7264040366391997,0.0395155329237734,-3.991830105496666,-4.8977770068250175,27.29817780922378,0.8038687273698674
25,-1.7058706241796506,0.03843833066300803,-3.8282685887822625,-4.708491561158337,26.786119778244295,0.8173160292333345
26,-1.6357065042879932,0.03729691065150369,-3.7546308061785387,-4.563087991778397,26.806749665773708,0.7979909157788588
27,-1.6642691133490068,0.037093538161741706,-3.8445920245719702,-4.469892073600548,27.462714019147064,0.8074235414426333
28,-1.6403989978697762,0.03674418876195044,-3.8141802612956996,-4.368554104540545,27.58088233163356,0.8093260025168231
29,-1.5503884739521303,0.03171271107958885,-2.695346926704632,-3.45895363782431,27.593698011610165,0.8098697627645324
30,-1.5441188923332259,0.032828066944856994,-3.0572329434234504,-3.6838733557461834,27.572557309767916,0.8055088624174624
31,-1.5323717408963777,0.034560359396412284,-3.3789239240571765,-4.092507974306106,27.992415778459282,0.8157849835121351
32,-1.498547728706396,0.033685116327573233,-3.331615006590923,-3.9366854214433724,27.111900214349145,0.808525841820814
33,-1.4920956153569485,0.03462344999357701,-3.507591614711383,-4.122355845244725,27.83271916680807,0.8166830251803368
34,-1.4942252713613946,0.03595710366456035,-3.8487175780754512,-4.402166583543204,27.362551884484954,0.8033284391872738
35,-1.546503120953013,0.03673943749652127,-3.9640118481397226,-4.538740614018688,28.02882036612838,0.8138108449046315
36,-1.4802403782764684,0.0358756613568077,-3.83408001774856,-4.427952798911879,27.46150957024261,0.8054054683159874
37,-1.513104948666509,0.03586296839920364,-3.936407869342498,-4.419094072497674,27.62366316263634,0.8063433429740089
